id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Tia;Ledner;Esther.Dooley@gmail.com;violet;2023-08-22T08:22:27;26980;7866
2;Alberta;Mohr;Rudolph_Gerhold@gmail.com;Alaska Agent;2023-08-22T00:53:22;18301;26477
3;Clemmie;Boyer;Jasen.Pacocha26@gmail.com;Frozen;2023-08-22T11:27:40;3264;7207
4;Manuel;Koelpin;Eve3@gmail.com;salmon Antimony Representative;2023-08-22T04:56:39;8663;6129
5;Bryce;Hane;Ayana91@yahoo.com;adipisci;2023-08-22T05:57:35;12002;5297
6;Alberto;Rogahn-Stamm;Hardy_Champlin@hotmail.com;Diesel East Bedfordshire;2023-08-22T16:56:39;29850;9968
7;Ana;Satterfield;Leonel_Dibbert59@hotmail.com;Rubber;2023-08-21T23:59:03;24144;24902
8;Skye;Borer;Raymundo0@gmail.com;Cheese East directional;2023-08-22T08:20:57;15771;20651
9;Alfonzo;Beatty;Geoffrey_Mueller@gmail.com;Analyst Folk Identity;2023-08-22T13:41:18;27905;31765
10;Roxane;O'Reilly;Alana.Champlin25@gmail.com;pink Frozen Silicon;2023-08-22T00:53:10;19490;29028
